2020-09-29 09:10:39.872  INFO 14664 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-29 09:10:41.668  INFO 14664 --- [restartedMain] c.a.n.c.c.impl.LocalConfigInfoProcessor  : LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
2020-09-29 09:10:41.946  INFO 14664 --- [restartedMain] c.a.nacos.client.config.impl.Limiter     : limitTime:5.0
2020-09-29 09:10:42.700  WARN 14664 --- [restartedMain] c.a.c.n.c.NacosPropertySourceBuilder     : Ignore the empty nacos configuration and get it based on dataId[user-service] & group[DEFAULT_GROUP]
2020-09-29 09:10:42.876  WARN 14664 --- [restartedMain] c.a.c.n.c.NacosPropertySourceBuilder     : Ignore the empty nacos configuration and get it based on dataId[user-service.properties] & group[DEFAULT_GROUP]
2020-09-29 09:10:42.888  INFO 14664 --- [restartedMain] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-user-service.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-user-service,DEFAULT_GROUP'}]
2020-09-29 09:10:42.904  INFO 14664 --- [restartedMain] c.x.user.XiaoYuUserServiceApplication    : No active profile set, falling back to default profiles: default
2020-09-29 09:10:50.932  INFO 14664 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-29 09:10:50.944  INFO 14664 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-29 09:10:51.070  INFO 14664 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 31ms. Found 0 Redis repository interfaces.
2020-09-29 09:10:52.775  INFO 14664 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=141af322-50c7-3329-8e87-8abbb66de72f
2020-09-29 09:10:53.748  INFO 14664 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@7dee8822' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-29 09:10:53.759  INFO 14664 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-29 09:10:53.785  INFO 14664 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'com.xiaoyu.common.redis.config.RedisConfig' of type [com.xiaoyu.common.redis.config.RedisConfig$$EnhancerBySpringCGLIB$$e9be739e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
